t,y_ref,y,v,acc,P_pos_sp,P_pos,P_neg_sp,P_neg,F_req,F_each,F_pos,F_neg,F_net
0.364,0.015,0.015,-2.73576e-16,-3.29416e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.366,0.015,0.015,-2.7423e-16,-3.26781e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.368,0.015,0.015,-2.74878e-16,-3.24166e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.37,0.015,0.015,-2.75521e-16,-3.21573e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.372,0.015,0.015,-2.76159e-16,-3.19e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.374,0.015,0.015,-2.76792e-16,-3.16448e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.376,0.015,0.015,-2.7742e-16,-3.13917e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.378,0.015,0.015,-2.78043e-16,-3.11405e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.38,0.015,0.015,-2.78661e-16,-3.08914e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.382,0.015,0.015,-2.79274e-16,-3.06443e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.384,0.015,0.015,-2.79882e-16,-3.03991e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.386,0.015,0.015,-2.80485e-16,-3.01559e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.388,0.015,0.015,-2.81083e-16,-2.99147e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.39,0.015,0.015,-2.81676e-16,-2.96754e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.392,0.015,0.015,-2.82265e-16,-2.9438e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.394,0.015,0.015,-2.82849e-16,-2.92025e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.396,0.015,0.015,-2.83429e-16,-2.89689e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.398,0.015,0.015,-2.84003e-16,-2.87371e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.4,0.015,0.015,-2.84574e-16,-2.85072e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
